uuid,user_age,device,computer_time,target_object_id,misses,movement_time,index_difficulty
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,8,0,1.442,1.253
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,22,0,1.066,2.234
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,8,0,0.767,2.126
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,12,0,0.833,2.081
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,18,0,0.900,1.142
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,3,0,0.933,1.869
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,4,0,0.934,3.999
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,2,0,0.734,1.422
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,17,0,0.866,2.276
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,0,0,0.834,2.616
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,9,0,0.699,1.632
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,16,0,0.984,2.183
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,15,1,2.000,4.240
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,5,0,0.684,1.496
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,19,0,0.849,2.976
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,1,0,0.684,2.273
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,10,0,1.050,2.940
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,21,0,1.201,3.014
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,11,0,0.799,1.783
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,13,0,0.817,2.157
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,14,0,1.000,1.282
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,7,0,0.633,1.071
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,20,0,0.850,2.049
9ce933ac-17a3-4546-af21-5329a27ff930,24,Trackpad,11,6,0,0.800,3.011
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,9,0,1.083,1.962
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,2,0,0.758,1.554
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,0,0,0.659,2.197
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,8,0,0.533,2.764
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,12,0,0.842,2.198
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,20,0,0.583,1.491
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,22,0,0.650,1.260
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,6,0,0.925,2.911
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,14,0,1.017,1.835
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,4,0,1.092,3.711
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,16,0,0.966,2.832
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,10,0,0.892,3.003
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,18,0,0.600,0.841
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,13,0,0.775,2.626
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,19,0,1.200,3.309
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,7,0,0.842,2.231
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,5,0,0.624,1.237
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,21,0,1.200,3.186
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,11,0,0.742,1.802
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,3,0,0.658,1.547
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,1,0,0.692,2.362
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,15,0,1.075,3.700
4d54afa4-9488-4087-b197-e3f9e781b14e,28,Mouse,14,17,0,1.025,2.346
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,13,0,1.382,2.601
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,1,0,0.666,2.106
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,2,0,0.521,0.710
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,7,0,0.583,1.354
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,14,0,0.563,1.742
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,6,2,1.146,2.064
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,20,0,0.604,1.887
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,8,0,0.791,2.338
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,19,0,1.118,3.727
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,15,0,0.868,3.654
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,12,0,0.653,2.786
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,17,0,0.702,1.823
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,16,0,1.034,1.180
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,5,0,0.577,1.626
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,22,0,0.645,1.917
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,10,0,0.695,3.649
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,18,0,0.590,0.840
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,3,0,0.750,1.862
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,0,0,0.521,2.733
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,21,0,0.729,3.775
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,4,0,0.806,3.560
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,11,0,0.833,1.861
2bd9e194-6807-4af6-a35c-fd4fdc85f738,24,Mouse,8,9,0,0.451,0.990
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,7,0,1.783,2.835
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,19,0,1.284,3.397
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,2,0,1.133,1.783
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,20,0,0.900,2.431
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,4,0,0.950,3.288
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,1,0,0.666,1.767
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,17,0,0.934,2.162
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,13,0,1.066,2.845
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,0,0,0.801,2.272
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,9,0,0.934,1.566
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,12,0,1.016,3.228
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,10,0,0.916,2.737
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,18,0,0.850,0.829
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,5,0,0.734,1.587
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,14,0,1.083,2.914
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,15,0,0.717,1.211
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,6,0,0.833,2.498
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,3,0,0.684,1.041
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,8,0,0.883,1.352
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,22,0,0.984,1.957
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,11,0,0.900,2.124
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,16,0,0.999,2.797
d875a127-ad37-4637-a4e0-18b5fc918aa6,25,Mouse,7,21,0,1.300,3.999
90c28bf9-8965-49e5-a12c-f12497dcd417,25,Trackpad,5,16,0,1.467,3.461
90c28bf9-8965-49e5-a12c-f12497dcd417,25,Trackpad,5,10,0,1.001,3.007
